x,y,Class
0.33071038624205745,0.824311228191726,C1
0.3279914474172007,0.7861713429838902,C1
0.26572590502207927,0.8198719759416891,C1
0.3595275041722544,0.8536604143214479,C1
0.34430454665791516,0.8760193159900043,C1
0.39824287940432945,0.8560248080081864,C1
0.43393764701906706,0.8914962819524511,C1
0.5493921319885666,0.8405425073678109,C1
0.5514278106192474,0.8730824640463144,C1
0.5887582713379931,0.8074086423926812,C1
0.6650136664933282,0.798145783515847,C1
0.6877282349623652,0.712011980562164,C1
0.6476534260835081,0.6459951095646932,C1
0.6293164318968317,0.6228073906078713,C1
0.6996653475810803,0.5296047081401354,C1
0.6488758850332937,0.4782261901835833,C1
0.6564995367871754,0.353048325912961,C1
0.643773130119488,0.2804973365981806,C1
0.6074885054734028,0.368138371581448,C1
0.5967078697214312,0.2679976103601755,C1
0.5854910564417604,0.25961600119731837,C1
0.5093031090445767,0.2028250067935258,C1
0.45636625709868134,0.15108136559274102,C1
0.43605979215464025,0.1834624652767348,C1
0.41240485943254884,0.1595373033940475,C1
0.3333098269364225,0.22396751716195334,C1
0.28936258806504955,0.16586724658573748,C1
0.29516307031784916,0.2454427967687965,C1
0.24533125822719934,0.34834142777920646,C1
0.2030325787388715,0.36352518788968907,C1
0.16034042364915793,0.431179925526769,C1
0.17568491783246556,0.4323160040944896,C1
0.16624076813083966,0.5313944366975686,C1
0.17455611084386322,0.5095985940121426,C1
0.1906748910930945,0.5969514289027973,C1
0.12972725814088384,0.6684123529760765,C1
0.22631035200458668,0.7913939434727681,C1
0.23433226728699058,0.8241505765095689,C1
0.30344818612309005,0.8346213263932493,C1
0.35135401869611427,0.879453449640142,C1
0.3291730311967786,0.8897525461495727,C1
0.3779337716272949,0.9157060468803825,C1
0.45281262904084696,0.9039416044150733,C1
0.4922291928681068,0.8825528018181661,C1
0.5123978908976845,0.9326252821365821,C1
0.5816385743482728,0.8641940257973781,C1
0.6340039850031011,0.8547174240752713,C1
0.6208887593509156,0.8024774471593421,C1
0.6444526042043033,0.6495462163250433,C1
0.6562550896373197,0.5962741258352412,C1
0.6290862672377547,0.5517248250941672,C1
0.6901050917333477,0.451792804851723,C1
0.703804844204634,0.3263422704973389,C1
0.6762257826103455,0.3338857858444748,C1
0.5771314151075959,0.20353023845285625,C1
0.5432482608835342,0.1893973126633589,C1
0.5246397396263961,0.16742122223512906,C1
0.504339628142444,0.10744888659471154,C1
0.42600830938778644,0.03066501901927436,C1
0.353539657120365,0.10962996488709302,C1
0.3346384933227655,0.09828440652830941,C1
0.311344913005911,0.1563160816931573,C1
0.29559994760057295,0.15926179093552134,C1
0.2007823228657115,0.2418515523758504,C1
0.27128754812961614,0.19572265074883974,C1
0.19570799332267566,0.28251813067234316,C1
0.24891787710891222,0.31413992384442185,C1
0.2291689082568963,0.4045805885145032,C1
